Country,SpotifyML,SpotifyMLevo%,Youtubeviews,Youtubeviewsevo %,Instagramfollowers,Instagramfollowersevo%,Population
Argentina,129628,3.02,6941532,-3.27,1117934,-15.89,45696159
Australia,504635,1.21,0,0,0,0,26713205
Bangladesh,0,0,2104331,383.29,0,0,173562364
Brazil,486918,1.97,21455222,-7.33,6041590,-2.09,211998573
Canada,144413,3.65,0,0,951411,,39742430
Chile,315442,1.39,436358,234.49,927622,-10.1,19764771
China,0,0,0,0,1260668,20.24,1419321278
Colombia,160650,0.57,3617573,126.33,761174,,52886363
France,133272,3.86,124775,,1260668,4.83,66548530
India,1481788,-0.25,16716453,-10.91,1712585,12.31,1450935791
Indonesia,1245056,2.6,13983410,-2.77,13605453,-4.88,283487931
Ireland,157161,3.4,0,0,0,0,5255017
Italy,0,0,0,0,927622,-10.71,59342867
Japan,634043,-0.03,23914174,-5.25,2592629,11.8,123753041
Kazakhstan,0,0,0,0,880044,11.99,20592571
Malaysia,438040,2.12,4830431,-3.6,2782942,-5.54,35557673
Mexico,768762,15.72,19827208,-4.59,1665007,-7.67,130861007
Myanmar (Burma),0,0,0,0,0,0,54500091
Peru,230863,2.08,5243422,-0.44,0,0,34217848
Philippines,618769,0.79,8504141,-8.73,5113892,10.48,115843670
Russia,0,0,2234969,-63.14,2759153,4.88,144820423
Singapore,301040,0.88,0,0,0,0,5832387
South Korea,0,0,13791422,-11.7,3996033,-2.61,51717590
Taiwan,173208,1.81,0,0,1070356,10.93,23213962
Thailand,407031,-1.72,6513716,-1.63,2473684,-11.25,71668011
Turkey,113419,0.11,0,0,0,0,87473805
Ukraine,0,0,0,0,951411,1.88,37860221
United Kingdom,182067,-0.01,0,0,1117934,6.63,69138192
United States of America,614189,-0.15,17601990,-6.41,7397340,1.83,345426571
Vietnam,242633,-0.92,0,0,1879108,12.72,100987686
Andorra,0,0,0,0,0,0,81938
United Arab Emirates,0,0,0,0,0,0,11027129
Afghanistan,0,0,0,0,0,0,42647492
Antigua and Barbuda,0,0,0,0,0,0,93772
Anguilla,0,0,0,0,0,0,14598
Albania,0,0,0,0,0,0,2791765
Armenia,0,0,0,0,0,0,2973840
Netherlands Antilles,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,37885849
Antarctica,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,46765
Austria,0,0,0,0,0,0,9120813
Aruba,0,0,0,0,0,0,108066
Azerbaijan,0,0,0,0,0,0,10336577
Bosnia and Herzegovina,0,0,0,0,0,0,3164253
Barbados,0,0,0,0,0,0,282467
Belgium,0,0,0,0,0,0,11738763
Burkina Faso,0,0,0,0,0,0,23548781
Bulgaria,0,0,0,0,0,0,6757689
Bahrain,0,0,0,0,0,0,1607049
Burundi,0,0,0,0,0,0,14047786
Benin,0,0,0,0,0,0,14462724
Saint Barthelemy,0,0,0,0,0,0,11258
Bermuda,0,0,0,0,0,0,64636
Brunei,0,0,0,0,0,0,462721
Bolivia,0,0,0,0,0,0,12413315
Bahamas,0,0,0,0,0,0,401283
Bhutan,0,0,0,0,0,0,791524
Botswana,0,0,0,0,0,0,2521139
Belarus,0,0,0,0,0,0,9056696
Belize,0,0,0,0,0,0,417072
Cocos [Keeling] Islands,0,0,0,0,0,0,0
Democratic Republic of the Congo,0,0,0,0,0,0,109276265
Central African Republic,0,0,0,0,0,0,5330690
Republic of the Congo,0,0,0,0,0,0,6332961
Switzerland,0,0,0,0,0,0,8921981
Ivory Coast,0,0,0,0,0,0,31934230
Cook Islands,0,0,0,0,0,0,13729
Cameroon,0,0,0,0,0,0,29123744
Colombia,0,0,0,0,0,0,52886363
Costa Rica,0,0,0,0,0,0,5129910
Cuba,0,0,0,0,0,0,10979783
Cape Verde,0,0,0,0,0,0,524877
Curacao,0,0,0,0,0,0,185482
Christmas Island,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,1358282
Czech Republic,0,0,0,0,0,0,10735859
Germany,0,0,0,0,0,0,84552242
Djibouti,0,0,0,0,0,0,1168722
Denmark,0,0,0,0,0,0,5977412
Dominica,0,0,0,0,0,0,66205
Dominican Republic,0,0,0,0,0,0,11427557
Algeria,0,0,0,0,0,0,46814308
Ecuador,0,0,0,0,0,0,18135478
Estonia,0,0,0,0,0,0,1360546
Egypt,0,0,0,0,0,0,116538258
Western Sahara,0,0,0,0,0,0,590506
Eritrea,0,0,0,0,0,0,3535603
Spain,0,0,0,0,0,0,47910526
Ethiopia,0,0,0,0,0,0,132059767
Finland,0,0,0,0,0,0,5617310
Fiji,0,0,0,0,0,0,928784
Falkland Islands,0,0,0,0,0,0,3470
Micronesia,0,0,0,0,0,0,113160
Faroe Islands,0,0,0,0,0,0,55400
